Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|05/01/2024|Vente|21500,00|88||BD|0600|CARNOT|6400|CANNES|06|29||DE|101||451||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/01/2024|Vente|346000,00|202||BD|1960|LEADER|6400|CANNES|06|29||AY|1244||220|73,06|||||||||1|2|Appartement||73|3|||
|||||||000001|05/01/2024|Vente|346000,00|202||BD|1960|LEADER|6400|CANNES|06|29||AY|1244||204||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/01/2024|Vente|195705,00|12||RUE|0290|DU BARRI|6400|CANNES|06|29||BP|122||2||||||||||1|2|Appartement||26|1|||
|||||||000001|09/01/2024|Vente|190000,00|5||RUE|2485|DE LA MEUSE|6400|CANNES|06|29||BM|19||58|28,78|||||||||1|2|Appartement||30|1|||
|||||||000001|09/01/2024|Vente|190000,00|5|A|RUE|2485|DE LA MEUSE|6400|CANNES|06|29||BM|19||9||||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2024|Vente|79000,00|25||BD|2561|DES MIMOSAS|6400|CANNES|06|29||AY|39||104|23,52|105||106||107||||4|2|Appartement||18|1|||
|||||||000001|08/01/2024|Vente|576725,00|7||RUE|3380|RICORD LATY|6400|CANNES|06|29||CE|260||9|64,82|||||||||1|2|Appartement||63|3|||
|||||||000001|08/01/2024|Vente|576725,00|7||RUE|3380|RICORD LATY|6400|CANNES|06|29||CE|260||115||||||||||1|3|Dépendance||0|0|||
|||||||000001|09/01/2024|Vente|395000,00|11||RUE|0410|DE BERNIS|6400|CANNES|06|29||AX|108||108|66,46|85||||||||2|3|Dépendance||0|0|||
|||||||000001|09/01/2024|Vente|395000,00|11||RUE|0410|DE BERNIS|6400|CANNES|06|29||AX|108||18||||||||||1|3|Dépendance||0|0|||
|||||||000001|09/01/2024|Vente|395000,00|11||RUE|0410|DE BERNIS|6400|CANNES|06|29||AX|108||108|66,46|85||||||||2|2|Appartement||70|4|||
|||||||000001|09/01/2024|Vente|395000,00|11||RUE|0410|DE BERNIS|6400|CANNES|06|29||AX|108||108|66,46|85||||||||2|3|Dépendance||0|0|||
|||||||000001|05/01/2024|Vente|480000,00|11||AV|1730|JEAN DE NOAILLES|6400|CANNES|06|29||AW|349||105|71,53|||||||||1|3|Dépendance||0|0|||
|||||||000001|05/01/2024|Vente|480000,00|11||AV|1730|JEAN DE NOAILLES|6400|CANNES|06|29||AW|349||106||202||||||||2|3|Dépendance||0|0|||
|||||||000001|05/01/2024|Vente|480000,00|11||AV|1730|JEAN DE NOAILLES|6400|CANNES|06|29||AW|349||107||||||||||1|2|Appartement||130|4|||
|||||||000001|05/01/2024|Vente|480000,00|11||AV|1730|JEAN DE NOAILLES|6400|CANNES|06|29||AW|349||107||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/01/2024|Vente|480000,00|11||AV|1730|JEAN DE NOAILLES|6400|CANNES|06|29||AW|349||105|71,53|||||||||1|2|Appartement||97|3|||
|||||||000001|04/01/2024|Vente|85000,00|59||RUE|1480|GEORGES CLEMENCEAU|6400|CANNES|06|29||BR|30||47||||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2024|Vente|253548,00|6||RUE|3940|TONY ALLARD|6400|CANNES|06|29||BV|269||32|27,38|||||||||1|2|Appartement||27|1|||
|||||||000001|10/01/2024|Vente|1000,00|1||RUE|3860|DE SUFFREN|6400|CANNES|06|29||CR|97||14||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/01/2024|Vente|1000,00|1||RUE|3860|DE SUFFREN|6400|CANNES|06|29||CR|97||11||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/01/2024|Vente|1000,00|1||RUE|3860|DE SUFFREN|6400|CANNES|06|29||CR|97||13||||||||||1|3|Dépendance||0|0|||
|||||||000001|09/01/2024|Vente|540000,00|81||RUE|1160|FELIX FAURE|6400|CANNES|06|29||BS|179||24|57,61|||||||||1|2|Appartement||38|3|||
|||||||000001|12/01/2024|Vente|215400,00|8||RUE|2450|MERLE|6400|CANNES|06|29||CP|68||69|26,32|||||||||1|3|Dépendance||0|0|||
|||||||000001|12/01/2024|Vente|215400,00|8||RUE|2450|MERLE|6400|CANNES|06|29||CP|68||24||||||||||1|3|Dépendance||0|0|||
|||||||000001|12/01/2024|Vente|215400,00|8||RUE|2450|MERLE|6400|CANNES|06|29||CP|68||69|26,32|||||||||1|2|Appartement||26|1|||
|||||||000001|11/01/2024|Vente|800000,00|6||QUAI|3675|ST PIERRE|6400|CANNES|06|29||BP|220||29||||||||||1|2|Appartement||98|2|||
|||||||000001|08/01/2024|Vente|158000,00|23||BD|1190|DE LA FERRAGE|6400|CANNES|06|29||BS|98||3|24,89|||||||||1|2|Appartement||24|2|||
